county,employment_1990,employment_2015,wages_1990,wages_2015
"Howard County, Texas",10844,12997,667.3312,882
"Pierce County, Washington",179941,278889,698.159,882
"Saratoga County, New York",48746,80492,719.9198,882
"Fayette County, Kentucky",138994,184934,727.1734,882
"Northampton County, Pennsylvania",82954,105363,781.5754,882
"Union County, Kentucky",6411,5077,826.9104,882
"Forest County, Pennsylvania",1462,1946,536.7664,883
"Suffolk City, Virginia",15563,27875,621.9962,883
"Sheboygan County, Wisconsin",49044,57465,703.5992,883
"Jefferson Parish, Louisiana",175551,193831,678.2116,884
"Erie County, New York",441366,452603,763.4414,885
"Leon County, Texas",2689,5742,705.4126,886
"Clay County, Missouri",63127,94354,732.6136,886
"Nemaha County, Nebraska",2845,3113,685.4652,887
"Pulaski County, Arkansas",199543,241882,718.1064,887
"Scott County, Minnesota",16595,42320,721.7332,887
"Nueces County, Texas",115997,163244,694.5322,888
"El Paso County, Colorado",149261,249601,716.293,888
"Martin County, Texas",1164,1809,725.36,888
"Pike County, Ohio",7304,8841,828.7238,888
"Benton County, Oregon",26648,35720,750.7476,889
"Woodward County, Oklahoma",7085,10250,620.1828,890
"Pecos County, Texas",4469,6217,631.0632,890
"Berkeley County, South Carolina",26378,44997,689.092,890
"Orange County, Florida",426346,748607,748.9342,890
"Lake County, Indiana",191002,182783,803.3362,890
"St. Bernard Parish, Louisiana",12307,10261,625.623,892
"Wyoming County, Pennsylvania",8910,10028,774.3218,893
"Ketchikan Gateway Borough, Alaska",6824,6330,957.4752,893
"Galveston County, Texas",73500,99710,758.0012,894
"Aiken County, South Carolina",57437,57036,872.2454,894
"Ontario County, New York",36603,51329,699.9724,895
"Calvert County, Maryland",9122,21952,710.8528,895
"Putnam County, New York",17641,24908,806.963,895
"Boone County, Illinois",11827,16522,841.4176,895
"Vermillion County, Indiana",4876,4259,1013.6906,895
"Choctaw County, Alabama",5426,3338,883.1258,896
"Pitkin County, Colorado",15159,17910,667.3312,897
"Johnson County, Iowa",46764,80446,716.293,897
"Eastland County, Texas",4935,7589,500.4984,898
"Stewart County, Tennessee",2284,2507,600.2354,898
"Story County, Iowa",30843,44325,645.5704,898
"Harrison County, West Virginia",23791,34917,670.958,898
"Centre County, Pennsylvania",52154,65277,705.4126,898
"Onondaga County, New York",250117,238759,823.2836,898
"Woods County, Oklahoma",2825,4061,485.9912,899
"Brown County, Wisconsin",97371,148410,781.5754,899
"Butler County, Ohio",89181,140786,781.5754,899
"Clark County, Washington",74583,140548,714.4796,900
"Muscatine County, Iowa",19233,22667,761.628,900
"Guilford County, North Carolina",228283,271368,768.8816,900
"Boone County, West Virginia",7280,6159,1078.973,900
"Beckham County, Oklahoma",4878,11690,511.3788,902
"Denton County, Texas",65617,212029,661.891,902
"Garfield County, Colorado",11173,24540,669.1446,902
"Plymouth County, Massachusetts",144583,178973,759.8146,902
"Bronx County, New York",202556,295042,834.164,902
"Milam County, Texas",6033,5618,823.2836,903
"Carbon County, Wyoming",6262,6817,680.025,904
"Mercer County, Kentucky",5322,6118,602.0488,906
"Larimer County, Colorado",70821,141676,707.226,906
"Elko County, Nevada",14341,20905,654.6374,907
"Warren County, New Jersey",32315,32735,843.231,907
"Sagadahoc County, Maine",18491,14902,866.8052,908
"Cumberland County, Pennsylvania",106901,127447,761.628,909
"Pleasants County, West Virginia",2862,2910,806.963,909
"Schleicher County, Texas",745,1005,636.5034,910
"Kitsap County, Washington",62514,82562,738.0538,910
"Wyoming County, West Virginia",5540,4754,839.6042,910
"Crockett County, Texas",1266,1727,603.8622,911
"Dukes County, Massachusetts",4027,6535,689.092,911
"Sedgwick County, Kansas",211660,246170,790.6424,911
"Oconee County, South Carolina",24850,23146,692.7188,913
"Hancock County, Mississippi",10546,12960,783.3888,913
"Cass County, North Dakota",56584,113225,674.5848,914
"Clackamas County, Oregon",89257,147402,698.159,914
"Salem City, Virginia",20195,20207,768.8816,914
"Monroe County, Michigan",33060,40054,874.0588,915
"Anoka County, Minnesota",75650,116187,754.3744,916
"Chattahoochee County, Georgia",6092,2348,774.3218,917
"Honolulu County, Hawaii",400236,461335,801.5228,917
"Aleutian West Census Area, Alaska",3930,4483,850.4846,917
"West Baton Rouge Parish, Louisiana",6769,13148,750.7476,918
"Hampden County, Massachusetts",198201,198362,772.5084,918
"Oldham County, Texas",712,1238,558.5272,920
"Butler County, Pennsylvania",51163,82905,723.5466,920
"Sonoma County, California",143256,192277,754.3744,922
"Sullivan County, Tennessee",64720,66836,870.432,923
"Kenai Peninsula Borough, Alaska",11965,18702,1017.3174,924
"Dale County, Alabama",18250,16259,670.958,925
"Broward County, Florida",500706,754115,756.1878,925
"Cumberland County, Maine",138711,169528,761.628,925
"Forsyth County, Georgia",11217,67439,634.69,926
"Wise County, Texas",7009,21650,649.1972,927
"Burleigh County, North Dakota",30031,57082,658.2642,927
"Ward County, North Dakota",19952,35129,558.5272,928
"Gallatin County, Kentucky",852,2573,487.8046,929
"Morrow County, Oregon",2583,5335,623.8096,929
"Bucks County, Pennsylvania",208812,248835,812.4032,929
"Jim Wells County, Texas",10634,19967,560.3406,930
"Hancock County, Ohio",30177,43554,805.1496,931
"Fairbanks North Star Borough, Alaska",25243,35419,926.6474,931
"Nye County, Nevada",11141,10966,1051.772,931
"Weld County, Colorado",44829,101702,707.226,932
"Adams County, Colorado",90472,186685,788.829,932
"Monroe County, New York",378694,372792,990.1164,932
"Garfield County, Oklahoma",20730,26561,598.422,933
"Kenton County, Kentucky",45883,63438,611.1158,934
"Santa Barbara County, California",162703,188481,805.1496,934
"Howard County, Indiana",41330,38149,973.7958,934
"Charlottesville City, Virginia",30866,37579,647.3838,935
"Harford County, Maryland",50480,87880,680.025,935
"Monongalia County, West Virginia",33025,54618,750.7476,935
"Orange County, Texas",22553,23151,790.6424,935
"Queens County, New York",459691,616684,886.7526,935
"Summit County, Ohio",227685,259093,816.03,936
"Prince George County, Virginia",10011,14624,888.566,936
"Bexar County, Texas",473315,806511,692.7188,937
"Bristol County, Massachusetts",193376,213694,714.4796,937
"McLean County, North Dakota",2635,3361,640.1302,938
"Zapata County, Texas",1498,4754,466.0438,939
"Iberia Parish, Louisiana",22816,31326,612.9292,939
"Napa County, California",42835,71948,734.427,940
"Chittenden County, Vermont",76857,99397,841.4176,941
"Klickitat County, Washington",4488,6356,946.5948,941
"Heard County, Georgia",1819,2174,689.092,943
"Darlington County, South Carolina",21177,19820,734.427,944
"East Baton Rouge Parish, Louisiana",187724,267290,739.8672,944
"Morris County, Texas",4488,4566,703.5992,946
"Tompkins County, New York",42787,48573,741.6806,946
"Isle of Wight County, Virginia",9848,10504,792.4558,946
"Ingham County, Michigan",165299,144221,886.7526,946
"Jackson County, Mississippi",42398,49469,736.2404,947
"Calhoun County, Michigan",56765,55511,848.6712,948
"Uintah County, Utah",6248,14458,638.3168,949
"Bristol Bay Borough, Alaska",724,508,756.1878,949
"Lafayette Parish, Louisiana",80512,139716,718.1064,950
"Hopewell City, Virginia",9631,7985,866.8052,950
"Hockley County, Texas",7693,10799,623.8096,951
"Stafford County, Virginia",10966,40541,647.3838,951
"Converse County, Wyoming",3385,6453,750.7476,951
"Louisa County, Virginia",5662,9068,741.6806,952
"Billings County, North Dakota",317,348,772.5084,952
"Winnebago County, Wisconsin",67198,88302,787.0156,952
"Pike County, Indiana",3082,2979,928.4608,952
"Orange County, North Carolina",40478,65268,748.9342,953
"Seneca County, New York",10313,11117,745.3074,954
"Kalamazoo County, Michigan",105652,112202,843.231,954
"Grant County, Kansas",2850,3268,651.0106,955
"Rensselaer County, New York",46729,50013,705.4126,955
"Newport County, Rhode Island",33447,35412,774.3218,955
"Grimes County, Texas",4737,8021,672.7714,956
"Duchesne County, Utah",3595,9013,591.1684,957
"Strafford County, New Hampshire",37392,46150,703.5992,957
"Frederick County, Maryland",50341,96185,727.1734,957
"Natrona County, Wyoming",26526,42607,709.0394,959
"Dutchess County, New York",116706,107612,1000.9968,959
"Douglas County, Nebraska",261436,324896,730.8002,960
"Carver County, Minnesota",15447,36363,745.3074,960
"Caribou County, Idaho",2437,3089,823.2836,960
"Calhoun County, Arkansas",4165,2612,727.1734,961
"Iredell County, North Carolina",41013,68117,612.9292,964
"Camden County, New Jersey",203853,190972,826.9104,964
"Salt Lake County, Utah",357870,631734,716.293,966
"Tioga County, New York",13380,12465,995.5566,966
"Wyandotte County, Kansas",76390,85884,825.097,968
"Gray County, Texas",8442,9161,692.7188,969
"Passaic County, New Jersey",188477,162569,935.7144,969
"Glasscock County, Texas",308,608,623.8096,970
"Middlesex County, Connecticut",63761,66285,894.0062,970
"Hillsborough County, Florida",438864,637910,719.9198,971
"Covington City, Virginia",4209,4030,881.3124,971
"Sweet Grass County, Montana",767,1426,406.2016,972
"Kosciusko County, Indiana",27790,36504,777.9486,972
"Benton County, Washington",46182,79115,841.4176,972
"Harrison County, Texas",18254,25416,868.6186,972
"Freestone County, Texas",3697,5981,736.2404,974
"Portsmouth City, Virginia",46947,44517,783.3888,974
"Rock Island County, Illinois",72092,71670,826.9104,975
"Miami-Dade County, Florida",875131,1070456,792.4558,976
"Frio County, Texas",3315,7587,496.8716,977
"Juneau Borough, Alaska",13659,16731,970.169,977
"Worcester County, Massachusetts",286022,327790,810.5898,979
"Anderson County, Tennessee",31199,39015,884.9392,980
"De Soto Parish, Louisiana",5072,6631,625.623,981
"Massac County, Illinois",3099,3391,758.0012,981
"Tulsa County, Oklahoma",270362,346393,816.03,981
"Marshall County, West Virginia",10926,10663,930.2742,981
"Berrien County, Michigan",61809,58456,763.4414,983
"Rockingham County, New Hampshire",92987,138117,765.2548,983
"Maricopa County, Arizona",973055,1796067,776.1352,986
"Appling County, Georgia",4988,6608,890.3794,986
"Greene County, Ohio",36751,69464,674.5848,987
"Placer County, California",60015,145389,747.1208,988
"Shelby County, Alabama",27628,81646,719.9198,991
"St. Mary Parish, Louisiana",24757,26183,732.6136,991
"Clayton County, Georgia",82618,115826,855.9248,991
"Washington County, Nebraska",4492,8008,681.8384,993
"Duval County, Florida",339269,463891,770.695,993
"Burke County, North Dakota",701,810,583.9148,994
"Esmeralda County, Nevada",374,376,794.2692,994
"Musselshell County, Montana",877,1345,466.0438,995
"Gaines County, Texas",3448,6111,645.5704,995
"Grafton County, New Hampshire",40841,52496,698.159,995
"Monmouth County, New Jersey",206867,241338,915.767,995
"Wilkinson County, Georgia",3381,3059,866.8052,998
"Lea County, New Mexico",19452,33048,689.092,999
"Palm Beach County, Florida",374634,562958,792.4558,999
"Baltimore County, Maryland",316876,362573,861.365,999
"Macomb County, Michigan",283149,306716,1068.0926,999
"Linn County, Iowa",90577,127314,763.4414,1000
"Sangamon County, Illinois",129205,127577,805.1496,1000
"Dane County, Wisconsin",210315,313912,741.6806,1002
"Lehigh County, Pennsylvania",144587,178470,792.4558,1003
"Gwinnett County, Georgia",135432,327926,839.6042,1003
"St. John the Baptist Parish, Louisiana",10428,14676,810.5898,1004
"Terrebonne Parish, Louisiana",34123,57776,689.092,1005
"Oklahoma County, Oklahoma",332122,446648,754.3744,1005
"Orleans Parish, Louisiana",266059,189438,790.6424,1005
"Albany County, New York",221199,227723,852.298,1005
"Jackson County, Missouri",359866,351307,814.2166,1006
"Fairfax City, Virginia",19757,19594,1008.2504,1006
"Shackelford County, Texas",982,1596,549.4602,1007
"Kenedy County, Texas",258,783,580.288,1009
"Shelby County, Tennessee",408752,475976,783.3888,1009
"Albemarle County, Virginia",32574,50419,783.3888,1010
"Yolo County, California",63106,92964,796.0826,1011
"Dakota County, Minnesota",99285,179800,758.0012,1012
"Houston County, Texas",6110,6263,623.8096,1014
"Norfolk City, Virginia",151959,137853,747.1208,1014
"Rockland County, New York",97889,115081,895.8196,1014
"DeWitt County, Illinois",5755,5278,781.5754,1015
"Milwaukee County, Wisconsin",512047,473324,816.03,1015
"Jefferson County, Kentucky",362796,440798,770.695,1017
"Forsyth County, North Carolina",144100,178833,835.9774,1017
"Union County, Ohio",19018,30176,1037.2648,1017
"Dimmit County, Texas",2387,6924,513.1922,1020
"Sterling County, Texas",488,664,594.7952,1020
"Jefferson County, Colorado",157921,222533,861.365,1020
"Webster County, Kentucky",4239,3514,803.3362,1021
"McMullen County, Texas",415,671,799.7094,1022
"Live Oak County, Texas",2320,4470,598.422,1023
"Jack County, Texas",1514,3408,629.2498,1024
"Union County, Arkansas",19029,18042,649.1972,1025
"Multnomah County, Oregon",365647,470342,819.6568,1025
"Marion County, Arkansas",2781,3722,458.7902,1026
"Hamilton County, Indiana",38395,126950,783.3888,1026
"Fort Bend County, Texas",45237,166916,819.6568,1028
"Tarrant County, Texas",527932,824803,821.4702,1028
"McLean County, Illinois",60983,83867,776.1352,1029
"Lafourche Parish, Louisiana",21044,38365,636.5034,1030
"Rio Blanco County, Colorado",2310,2842,756.1878,1031
"Scurry County, Texas",6147,8190,652.824,1032
"Grant County, Oklahoma",1212,1916,592.9818,1033
"Newport News City, Virginia",82088,97044,739.8672,1033
"Waukesha County, Wisconsin",148610,228926,808.7764,1033
"Washtenaw County, Michigan",172527,199886,908.5134,1033
"Ochiltree County, Texas",3386,5245,656.4508,1034
"New London County, Connecticut",108594,118362,845.0444,1034
"New Haven County, Connecticut",358874,355032,872.2454,1034
"Karnes County, Texas",3079,6040,536.7664,1035
"Dauphin County, Pennsylvania",148603,172841,819.6568,1036
"White Pine County, Nevada",3829,4166,730.8002,1037
"Ventura County, California",245918,314531,814.2166,1037
"Schenectady County, New York",63405,61028,912.1402,1037
"Wake County, North Carolina",246381,496390,758.0012,1038
"Ascension Parish, Louisiana",20332,43373,864.9918,1038
"Pershing County, Nevada",1670,1836,805.1496,1039
"Reagan County, Texas",1185,2220,705.4126,1043
"Franklin County, Ohio",552841,704570,794.2692,1043
"Prince George's County, Maryland",286365,299018,888.566,1043
"Clear Creek County, Colorado",2506,3218,663.7044,1045
"Suffolk County, New York",505648,620367,884.9392,1048
"Essex County, Massachusetts",272498,310786,846.8578,1049
"Montgomery County, Texas",38434,163125,694.5322,1050
"Solano County, California",95348,127538,826.9104,1051
"Madison County, Alabama",131051,183367,857.7382,1053
"Nantucket County, Massachusetts",2609,4745,785.2022,1054
"Posey County, Indiana",7757,8091,855.9248,1054
"Richland County, Montana",3274,6674,582.1014,1056
"Burlington County, New Jersey",153533,191840,826.9104,1058
"West Feliciana Parish, Louisiana",5320,5566,903.0732,1060
"Camas County, Idaho",213,364,460.6036,1062
"Carroll County, Kentucky",4368,6257,709.0394,1063
"Bartholomew County, Indiana",33179,48676,819.6568,1065
"DeKalb County, Georgia",271885,285169,877.6856,1066
"Jefferson County, Alabama",336772,334300,796.0826,1067
"Ector County, Texas",43387,76855,699.9724,1068
"Peoria County, Illinois",91357,99910,745.3074,1069
"Cuyahoga County, Ohio",768226,699305,875.8722,1069
"Polk County, Iowa",208708,282319,767.0682,1071
"Providence County, Rhode Island",281945,275870,797.896,1071
"Hillsborough County, New Hampshire",164660,193840,845.0444,1071
"Marion County, Indiana",507684,570681,861.365,1071
"Macon County, Illinois",50722,48218,823.2836,1072
"Henrico County, Virginia",115313,182365,812.4032,1073
"Brazoria County, Texas",63839,101710,915.767,1073
"Stanton County, Nebraska",1110,1317,1030.0112,1073
"Davidson County, Tennessee",349537,443611,777.9486,1076
"Anne Arundel County, Maryland",159207,253533,875.8722,1076
"Chambers County, Texas",5393,12229,875.8722,1081
"Little River County, Arkansas",4927,3462,848.6712,1082
"Irion County, Texas",412,756,756.1878,1084
"Jefferson County, Texas",104444,123779,783.3888,1085
"Johnson County, Kansas",184023,328032,801.5228,1087
"Hudspeth County, Texas",605,1105,538.5798,1088
"Roane County, Tennessee",19024,17354,886.7526,1090
"Kemper County, Mississippi",1720,2692,400.7614,1091
"Claiborne County, Mississippi",3802,3378,819.6568,1092
"Divide County, North Dakota",677,1104,411.6418,1094
"Williamson County, Texas",27946,146898,583.9148,1094
"Grundy County, Illinois",12004,17958,866.8052,1094
"Valdez-Cordova Census Area, Alaska",3665,3915,1117.0544,1096
"Matagorda County, Texas",11922,10931,843.231,1097
"Eddy County, New Mexico",16127,28501,678.2116,1100
"Snohomish County, Washington",155395,270033,817.8434,1100
"St. Louis County, Missouri",564889,580017,870.432,1100
"Delaware County, Ohio",18802,81024,721.7332,1102
"Anchorage Borough, Alaska",104850,151080,1049.9586,1102
"Humboldt County, Nevada",5852,7813,774.3218,1103
"Nassau County, New York",587949,599079,933.901,1103
"Ballard County, Kentucky",2314,2139,854.1114,1104
"Sacramento County, California",487641,614172,872.2454,1104
"Ward County, Texas",4166,5129,728.9868,1107
"Slope County, North Dakota",81,163,311.9048,1109
"La Salle County, Texas",913,3552,466.0438,1114
"Greene County, Pennsylvania",9633,14931,850.4846,1115
"Winkler County, Texas",2423,2651,652.824,1116
"Los Angeles County, California",4271547,4179832,962.9154,1118
"Rappahannock County, Virginia",1107,1347,525.886,1119
"Hamilton County, Ohio",527106,493685,783.3888,1123
"Washington County, Alabama",5289,3523,935.7144,1123
"Cobb County, Georgia",181096,326329,814.2166,1125
"King County, Texas",278,101,640.1302,1128
"Campbell County, Wyoming",13372,28164,884.9392,1129
"San Diego County, California",992108,1344703,826.9104,1130
"Cheyenne County, Nebraska",4066,5856,502.3118,1131
"Sweetwater County, Wyoming",17325,23754,888.566,1138
"Washington County, Oklahoma",18941,21259,850.4846,1140
"Wayne County, Michigan",864395,688975,997.37,1142
"Delaware County, Pennsylvania",201030,213457,872.2454,1145
"Andrews County, Texas",5077,7691,759.8146,1146
"Oakland County, Michigan",573916,688457,997.37,1146
"Olmsted County, Minnesota",62359,90844,852.298,1149
"Travis County, Texas",323910,670797,779.762,1153
"Stillwater County, Montana",1740,3212,661.891,1154
"Salem County, New Jersey",22732,19554,1011.8772,1154
"Terrell County, Texas",370,421,592.9818,1155
"Manassas City, Virginia",17171,22240,926.6474,1163
"Falls Church City, Virginia",16931,11351,897.633,1172
"Dallas County, Iowa",7493,38652,569.4076,1174
"Fairfield County, South Carolina",7245,10142,787.0156,1174
"Norfolk County, Massachusetts",290577,332584,915.767,1174
"Juncos Municipio, Puerto Rico",2562,6406,322.7852,1178
"St. Louis City, Missouri",275625,220712,937.5278,1178
"Calhoun County, Texas",8831,12104,1022.7576,1178
"Hemphill County, Texas",1209,2347,632.8766,1183
"Yoakum County, Texas",3467,3969,783.3888,1183
"Boulder County, Colorado",115073,169347,772.5084,1193
"Dolores County, Colorado",398,1083,527.6994,1194
"Coffey County, Kansas",3464,4861,781.5754,1198
"DuPage County, Illinois",403781,591148,917.5804,1202
"Steuben County, New York",36306,36535,886.7526,1203
"Allegheny County, Pennsylvania",652343,673105,843.231,1205
"Richmond City, Virginia",190932,146970,884.9392,1207
"Sublette County, Wyoming",1599,4548,623.8096,1210
"Washington County, Pennsylvania",61707,85951,730.8002,1220
"Orange County, California",1224700,1495743,924.834,1220
"Douglas County, Colorado",12229,109008,721.7332,1224
"Mercer County, North Dakota",3866,4929,973.7958,1224
"Philadelphia County, Pennsylvania",718615,642777,955.6618,1225
"Northwest Arctic Borough, Alaska",2179,2761,966.5422,1226
"Iberville Parish, Louisiana",12432,14988,1022.7576,1229
"Bergen County, New Jersey",442947,430177,1031.8246,1232
"Marin County, California",95237,109718,886.7526,1234
"Midland County, Michigan",32399,36135,1053.5854,1235
"Fallon County, Montana",899,1625,605.6756,1238
"Howard County, Maryland",79961,160750,933.901,1238
"St. Mary's County, Maryland",22171,42589,767.0682,1240
"Baltimore City, Maryland",443254,327940,894.0062,1240
"Montour County, Pennsylvania",11126,15206,886.7526,1243
"Crane County, Texas",1600,1453,814.2166,1245
"Collin County, Texas",79177,355757,859.5516,1245
"Loudoun County, Virginia",38959,147181,852.298,1246
"Arapahoe County, Colorado",167958,309373,881.3124,1249
"Ramsey County, Minnesota",291776,320750,894.0062,1259
"Hutchinson County, Texas",9713,10098,821.4702,1264
"Hancock County, Kentucky",3922,4426,1205.911,1265
"Williamson County, Tennessee",24450,110778,745.3074,1267
"Stark County, North Dakota",8412,23783,547.6468,1269
"New Castle County, Delaware",244024,279745,937.5278,1271
"Washington County, Oregon",133561,269411,821.4702,1276
"Southeast Fairbanks Census Area, Alaska",1267,2368,777.9486,1278
"Cook County, Illinois",2562748,2471378,961.102,1278
"Cameron Parish, Louisiana",3686,6868,783.3888,1289
"Contra Costa County, California",293179,340080,955.6618,1293
"Hansford County, Texas",1993,2266,698.159,1298
"Benton County, Arkansas",42429,106226,667.3312,1303
"Dallas County, Texas",1149413,1562743,933.901,1305
"Hunterdon County, New Jersey",39304,45342,968.3556,1306
"Upton County, Texas",1363,1876,754.3744,1311
"Plaquemines Parish, Louisiana",15670,14783,884.9392,1311
"Midland County, Texas",43437,91503,855.9248,1326
"Burke County, Georgia",6243,6815,816.03,1328
"Somervell County, Texas",4135,4134,1472.4808,1328
"Middlesex County, New Jersey",350542,393474,1042.705,1330
"Martin County, Indiana",7361,6850,970.169,1331
"Union County, New Jersey",246278,215805,1040.8916,1333
"Alameda County, California",585206,715027,955.6618,1339
"Denver County, Colorado",378065,467720,923.0206,1349
"Essex County, New Jersey",379414,331067,1028.1978,1359
"St. Charles Parish, Louisiana",18278,25877,977.4226,1364
"Durham County, North Carolina",122596,189346,915.767,1369
"Chester County, Pennsylvania",159640,239099,919.3938,1371
"Montgomery County, Pennsylvania",411389,466252,910.3268,1374
"Mountrail County, North Dakota",1817,7894,495.0582,1375
"Dunn County, North Dakota",667,3155,489.618,1385
"Hennepin County, Minnesota",727192,865233,913.9536,1385
"St. James Parish, Louisiana",7737,8201,1024.571,1385
"King County, Washington",894012,1244558,910.3268,1390
"Alexandria City, Virginia",80453,94484,950.2216,1394
"Los Alamos County, New Mexico",7052,14956,759.8146,1396
"Mecklenburg County, North Carolina",356561,624367,874.0588,1397
"Hartford County, Connecticut",527704,497913,1002.8102,1407
"Westchester County, New York",394244,408317,1035.4514,1412
"Montgomery County, Maryland",379013,453450,990.1164,1413
"Oliver County, North Dakota",612,874,930.2742,1428
"Harris County, Texas",1411226,2282755,913.9536,1455
"McKenzie County, North Dakota",1803,12002,614.7426,1457
"Carson County, Texas",3814,4425,1004.6236,1490
"Tazewell County, Illinois",45817,55761,968.3556,1495
"Surry County, Virginia",2326,2209,1104.3606,1505
"Fulton County, Georgia",584223,776075,984.6762,1514
"King George County, Virginia",6635,10639,961.102,1519
"Mercer County, New Jersey",206554,232240,1049.9586,1529
"Hudson County, New Jersey",229336,238841,935.7144,1540
"Greenlee County, Arizona",2786,4584,1000.9968,1545
"Sutton County, Texas",1599,2253,585.7282,1562
"Williams County, North Dakota",8234,40621,614.7426,1563
"Lander County, Nevada",2586,3547,990.1164,1579
"Lake County, Illinois",208547,320038,912.1402,1583
"Butte County, Idaho",39084,7173,179.5266,1591
"Middlesex County, Massachusetts",757315,854570,1004.6236,1629
"Fairfax County, Virginia",372791,575274,995.5566,1635
"Arlington County, Virginia",149733,165712,1107.9874,1737
District of Columbia,668531,732355,1142.442,1759
"Morris County, New Jersey",241179,277095,1117.0544,1768
"Suffolk County, Massachusetts",558060,624890,1113.4276,1910
"Fairfield County, Connecticut",407221,414362,1195.0306,1935
"Goochland County, Virginia",2991,14582,632.8766,2011
"San Mateo County, California",306679,375597,1011.8772,2053
"North Slope Borough, Alaska",6479,16463,1784.3856,2057
"San Francisco County, California",573777,655870,1115.241,2068
"Somerset County, New Jersey",131902,176106,1167.8296,2100
"Eureka County, Nevada",3864,4417,1169.643,2160
"Santa Clara County, California",845458,993351,1111.6142,2195
"New York County, New York",2354315,2335946,1447.0932,2839
